quarter,avg_rsi,avg_position,spy_total_return,cassandra_total_return,return_gap_vs_spy,missed_recovery_flag
2022Q1,1.0,1.0,-0.04614461981946205,-0.04614461981946205,0.0,False
2022Q2,1.0,1.0,-0.16110283556891736,-0.16110283556891736,0.0,False
2022Q3,1.0,1.0,-0.049311431494239444,-0.049311431494239444,0.0,False
2022Q4,0.9224726959307757,0.9224726959307757,0.07560916300824871,0.07651911162199299,-0.0009099486137442714,False
2023Q1,0.416857059684336,0.416857059684336,0.07458228546877832,0.07164057905536292,0.0029417064134154014,False
2023Q2,0.13206314581760203,0.13206314581760203,0.08680369874320681,0.0006721053112148656,0.08613159343199195,True
2023Q3,0.18199361794077815,0.18199361794077815,-0.03224180098036189,-0.004938274199064119,-0.02730352678129777,False
2023Q4,0.23143968500246054,0.23143968500246054,0.11639641870502637,0.017156898732886283,0.09923951997214009,True
2024Q1,0.11139732721387284,0.11139732721387285,0.10390108165228562,0.011847194222088797,0.09205388743019682,True
2024Q2,0.13756365896432954,0.13756365896432954,0.043790747730641844,-0.0025580215980597343,0.04634876932870158,True
2024Q3,0.1326143607191193,0.1326143607191193,0.05751347062675727,-0.00018456428042901152,0.05769803490718628,True
2024Q4,0.1414593438960962,0.1414593438960962,0.024910266870187714,-0.013097539381719758,0.03800780625190747,True
