run_id,CAGR,Sortino,MDD,avg_position,dominant_theme,dominant_event,notes
no_manual_events,0.10299154392024357,0.520816287588103,-0.33717284428360483,0.8681254823451389,geopolitical,us_debt_ceiling_2023,Public approved shortlist only; manual reconstructed seeds removed.
top_event_removal_ukraine,0.16527911845819232,1.2025056457782397,-0.18394885939595096,0.7890844789806235,systemic_credit,covid_crash_2020,Removed ukraine_invasion_2022 from both seeds and shortlist.
top_event_removal_debt_ceiling,0.1628142150347609,1.1798411596700207,-0.20268394783484522,0.7994264150795451,systemic_credit,covid_crash_2020,Removed us_debt_ceiling_2023 from both seeds and shortlist.
aggregation_max,0.1598915438661317,1.158572229600253,-0.20268394783484522,0.7871953198365979,systemic_credit,covid_crash_2020,Forced max aggregation across all proxy families and events.
aggregation_weighted_average,0.1595361446647925,1.154939305010912,-0.20268394783484522,0.7890344342521883,systemic_credit,covid_crash_2020,Forced weighted-average aggregation across all proxy families and events.
aggregation_per_family,0.1598915438661317,1.158572229600253,-0.20268394783484522,0.7871953198365979,systemic_credit,covid_crash_2020,Current per-family proxy governance baseline.
theme_geopolitical_only,0.11351037596233904,0.5842098309435606,-0.33717284428360483,0.9081926873454073,geopolitical,china_taiwan_2024,Only `geopolitical` events active; all other structural themes removed.
theme_monetary_policy_only,0.14637872392596507,0.8006917271229634,-0.33717284428360483,0.9298910262962372,monetary_policy,rate_hike_shock_2022,Only `monetary_policy` events active; all other structural themes removed.
theme_fiscal_debt_only,0.13268868754983587,0.6917426665965026,-0.33717284428360483,0.9804903685573952,fiscal_debt,us_debt_ceiling_2023,Only `fiscal_debt` events active; all other structural themes removed.
theme_electoral_only,0.13986665303738866,0.7326954261970706,-0.33717284428360483,1.0,none,none,Only `electoral` events active; all other structural themes removed.
theme_systemic_credit_only,0.17694124260663946,1.1503519874863681,-0.2449639779225522,0.945669570213636,systemic_credit,covid_crash_2020,Only `systemic_credit` events active; all other structural themes removed.
theme_trade_technology_only,0.14231453238838387,0.7497183002154729,-0.33717284428360483,0.9950555889112773,trade_technology,aug_volatility_2024,Only `trade_technology` events active; all other structural themes removed.
single_proxy_china_taiwan_2024_all_combined,0.1598915438661317,1.158572229600253,-0.20268394783484522,0.7871953198365979,systemic_credit,covid_crash_2020,All approved proxies combined for `china_taiwan_2024` under the current per-family policy.
single_proxy_china_taiwan_2024_dominant_only,0.16237613310807864,1.1751859319963815,-0.20268394783484522,0.8009156423894286,systemic_credit,covid_crash_2020,Only dominant proxy `UjzOb7pBZuVnZvuKzR8n` retained for `china_taiwan_2024`.
single_proxy_oct_selloff_2023_all_combined,0.1598915438661317,1.158572229600253,-0.20268394783484522,0.7871953198365979,systemic_credit,covid_crash_2020,All approved proxies combined for `oct_selloff_2023` under the current per-family policy.
single_proxy_oct_selloff_2023_dominant_only,0.15817378520971737,1.142706969135891,-0.20268394783484522,0.7893063801234893,systemic_credit,covid_crash_2020,Only dominant proxy `rK52OtlkjovFyTcxPrxJ` retained for `oct_selloff_2023`.
single_proxy_us_debt_ceiling_2023_all_combined,0.1598915438661317,1.158572229600253,-0.20268394783484522,0.7871953198365979,systemic_credit,covid_crash_2020,All approved proxies combined for `us_debt_ceiling_2023` under the current per-family policy.
single_proxy_us_debt_ceiling_2023_dominant_only,0.1598915438661317,1.158572229600253,-0.20268394783484522,0.7871953198365979,systemic_credit,covid_crash_2020,Only dominant proxy `3szs86zpyB4QQY4zzP2S` retained for `us_debt_ceiling_2023`.
