date,total_hazard,rsi,rsi_drag,active_event_count,dominant_event_id,dominant_category,probability_component_hazard,severity_component_hazard,velocity_component_hazard,persistence_component_hazard,probability_share_of_hazard,severity_share_of_hazard,velocity_share_of_hazard,persistence_share_of_hazard,probability_rsi_drag,severity_rsi_drag,velocity_rsi_drag,persistence_rsi_drag
2020-01-02,0,1.0,0.0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0,1.0,0.0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,0,1.0,0.0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,0,1.0,0.0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,0,1.0,0.0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,0,1.0,0.0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,0,1.0,0.0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,0,1.0,0.0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,0,1.0,0.0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,0,1.0,0.0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,0,1.0,0.0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,0,1.0,0.0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-21,0.12647179680545018,0.8877275071030538,0.11227249289694619,1,covid_crash_2020,Sovereign,0.0010266143338784122,0.03946050387271079,0.04245496304624258,0.043529715552618385,0.008117338092836927,0.3120103048224447,0.3356871976093647,0.3441851594753536,0.0009113537833701446,0.035030174731951934,0.03768843850919317,0.03864252587243093
2020-01-22,0.14175651858037627,0.8758434777699963,0.12415652223000373,1,covid_crash_2020,Sovereign,0.0012799130947478501,0.04411211768905222,0.04745956443996016,0.048904923356616045,0.009028954065503072,0.311182287282546,0.3347963459828514,0.3449924126690995,0.0011210035361473147,0.03863531056857883,0.04156714997254391,0.04283305815273367
2020-01-23,0.1665757558587578,0.8572096539618763,0.14279034603812368,1,covid_crash_2020,Sovereign,0.0017528075619502848,0.05166713520855667,0.05558789424129583,0.057567918846955037,0.0105225850719628,0.3101719991735534,0.33370939219047985,0.345596023564004,0.0015025235636411628,0.044289567093328305,0.04765047958705055,0.049347775794103675
2020-01-24,0.20069547516563868,0.8328506442168842,0.16714935578311585,1,covid_crash_2020,Sovereign,0.0025220668122860404,0.06201295333872732,0.0667188044753969,0.06944165053922842,0.012566635148124389,0.308990291323442,0.33243801047498606,0.3460050630534475,0.0021005049693704524,0.05164752813795063,0.055566799288714636,0.05783452338708013
2020-01-27,0.356618972531913,0.7371266510696511,0.26287334893034886,1,covid_crash_2020,Sovereign,0.007731350653065497,0.10859973175166186,0.11684081919534622,0.1234470709318394,0.021679583108477597,0.3045259509908535,0.3276348938078173,0.3461595720928516,0.005698984615139328,0.08005175657316495,0.08612648176170015,0.09099612598034443
2020-01-28,0.42564748213455633,0.7014356722341669,0.2985643277658331,1,covid_crash_2020,Sovereign,0.010895883601451783,0.12887292470447714,0.1386524427979617,0.14722623103066568,0.02559837437968765,0.3027691460976096,0.3257447738270203,0.34588770569568245,0.0076427614385695675,0.09039606657286811,0.09725576942089764,0.10326973033349775
2020-01-29,0.5027967357970788,0.6654259862160288,0.3345740137839712,1,covid_crash_2020,Sovereign,0.015034245355677734,0.15128990659684005,0.16277053670062774,0.17370204714393334,0.029901238980487986,0.30089675573768715,0.323730297179812,0.34547170810201294,0.010004177542815604,0.10067223530173317,0.10831174491092752,0.11558585602849496
2020-01-30,0.5878023154007865,0.6298013236915982,0.37019867630840175,1,covid_crash_2020,Sovereign,0.02031072763235166,0.17570593565769854,0.18903937540726137,0.20274627670347498,0.03455367068178868,0.29892011489933545,0.32160365900969096,0.3449225554091849,0.0127917231479946,0.11065983085768935,0.1190572488613262,0.12768987344139163
2020-01-31,0.6804060878102401,0.5950942496900339,0.4049057503099661,1,covid_crash_2020,Sovereign,0.026891184504554706,0.20197864637120827,0.2173057899990438,0.23423046693543334,0.0395222573494293,0.29685014580224994,0.31937661036867243,0.34425098647964825,0.016002789266014245,0.12019633101568285,0.12931742605278101,0.13938920397548799
2020-02-03,1.0010715437731814,0.49973225750560596,0.500267742494394,1,covid_crash_2020,Sovereign,0.056056934236984046,0.29049747296898615,0.3125418651446612,0.34197527142255013,0.05599693107417424,0.2901865254046277,0.3122073213335446,0.3416092221876536,0.028013458295091328,0.1451709579664652,0.1561872518337542,0.1708960743990833
2020-02-04,1.121300117844265,0.4714090154373031,0.5285909845626968,1,covid_crash_2020,Sovereign,0.06941560428319324,0.3227638194425822,0.34725674236955956,0.38186395174892995,0.061906356004534216,0.28784784225574317,0.3096911672828249,0.3405546344568977,0.03272314167112556,0.15215377434221114,0.16369995902439927,0.18001410952496089
2020-02-05,1.2477194683067458,0.4448953768920821,0.555104623107918,1,covid_crash_2020,Sovereign,0.08481399335165055,0.3561817291770979,0.38321056919949736,0.4235131765785,0.06797521037861969,0.2854661951059117,0.30712878890921247,0.33942980560625613,0.037733353537905114,0.1584636046443185,0.1704886106130397,0.18841905431265468
2020-02-06,1.3800122097507026,0.4201659117138505,0.5798340882861495,1,covid_crash_2020,Sovereign,0.10236172360256829,0.3906134661403177,0.42025515750751335,0.4667818625003032,0.07417450576111917,0.28305073200104625,0.3045300284578148,0.33824473378001974,0.04300890692207428,0.16412246312855389,0.1765768914065922,0.1961258268289291
2020-02-07,1.5178801825165058,0.39715948635830073,0.6028405136416992,1,covid_crash_2020,Sovereign,0.12215569517600045,0.4259319819418854,0.45825381783989305,0.5115386875587269,0.08047782465509072,0.2806097522373138,0.30190381501664404,0.3370086080909514,0.0485152931518415,0.16916292717161222,0.18199985091502224,0.20316244240322326
2020-02-10,1.961703607038979,0.33764350950693867,0.6623564904930613,1,covid_crash_2020,Sovereign,0.1956989231608125,0.5359613655472787,0.5766327779777611,0.6534105403531266,0.09975967952477949,0.2732122037315646,0.29394490376053195,0.3330832129831239,0.06607647122274544,0.18096387642351439,0.19469631485314662,0.22061982799365482
2020-02-11,2.1186178367553716,0.3206548709541166,0.6793451290458834,1,covid_crash_2020,Sovereign,0.22506922155684433,0.5736056184767665,0.6171336639314767,0.7028093327902841,0.10623398786330154,0.27074520403133867,0.2912906958607536,0.33173011224460613,0.0721695421940534,0.1839294355712238,0.19788691536938885,0.22535923591121734
